Sample Sys Usage,Sample Sys Name,GPIO #,Name,J8 Header # (odd row),J8 Header # (even row),Name,GPIO #,Sample Sys Name,Sample Sys Usage,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,38,,,38,,,,
,,,,,,,,,,,,,,,,,39,,,39,,,,
,,,,,,,,,,,,,,,,,40,,,40,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
